"prop_dead_quintile1","prop_dead_quintile2","prop_dead_quintile3","prop_dead_quintile4","prop_dead_quintile5","pop_quintile1","pop_quintile2","pop_quintile3","pop_quintile4","pop_quintile5","num_dead_quintile1","num_dead_quintile2","num_dead_quintile3","num_dead_quintile4","num_dead_quintile5","scenario","iteration"
0.0176056343889849,0.016217864180265,0.00924074594130201,0.0072436452502,0.00195422598247778,14740.4844205748,14760.6143610748,14862.6579538361,14892.1267170407,14970.7437835212,259.515579425168,239.38563892518,137.342046163871,107.873282959268,29.2562164787748,"base case","1"
0.0144682371824947,0.0146597807978215,0.00897439636140658,0.00754623510177871,0.00276400549512206,14786.0716089642,14783.2803505876,14866.5814059241,14887.6542608338,14958.6541975982,213.928391035845,216.719649412356,133.41859407588,112.345739166249,41.3458024017922,"mean vaccination coverage","1"
0.0123824336858451,0.0101297320769864,0.00522221798539764,0.00358988903320358,0.000236548735778824,14816.5352349987,14849.5777558766,14922.0736784569,14946.3442825735,14996.4526080944,183.464765001358,150.422244123406,77.9263215430666,53.6557174264956,3.54739190561177,"50% relative increase","1"
0.0101343323105829,0.0102666256377637,0.00629378864171722,0.00528704517031896,0.00190802503537101,14849.5101296963,14847.5656023288,14906.1836307733,14921.111409984,14971.4341288667,150.489870303709,152.434397671247,93.8163692267121,78.8885900159472,28.5658711332856,"vaccination highest quintile","1"
0.0038958886281867,0.0039449013216399,0.00236918364309887,0.00190222949358365,0.00057013759242918,14941.7884562685,14941.0589966175,14964.5462418175,14971.5207317004,14991.4528091883,58.2115437315476,58.9410033824562,35.4537581825106,28.4792682996395,8.54719081164631,"full coverage","1"
0.00899927675155504,0.00899248603939779,0.00898792514757629,0.00898366834004359,0.0089677562004134,74331.0740929967,74331.5743553233,74331.9103536648,74332.223953028,74333.3962251043,668.92590700322,668.425644676704,668.08964633509,667.776046971848,666.603774895465,"homogeneous-base case","1"
0.0108717104270363,0.00988364364379763,0.0092210977591124,0.00860350361357046,0.000896065422956522,14838.6781876242,14853.1963007916,14862.9473098672,14872.0482788913,14986.5710518717,161.321812375829,146.803699208397,137.052690132822,127.951721108636,13.4289481282634,"only top quintile","1"
0.0117107871770847,0.011460235574287,0.00775167325056204,0.00633797877392603,0.00442770915860697,14826.371518538,14830.0441998922,14884.619294768,14905.5290731204,14933.8771354339,173.628481461989,169.955800107853,115.380705232052,94.4709268795746,66.122864566072,"base case","2"
0.00966523229059685,0.0104028638213026,0.00754385183556808,0.00660871212543581,0.00639813894424061,14856.4093526029,14845.5636232766,14887.689476416,14901.5201431426,14904.6380548117,143.590647397103,154.43637672343,112.310523584028,98.4798568574123,95.3619451883011,"mean vaccination coverage","2"
0.00827717054401078,0.00719127863323862,0.00438056091087294,0.00310851294863734,0.00054403880213261,14876.8616787255,14892.9009992571,14934.5781706453,14953.5167994014,14991.8438552273,123.13832127447,107.099000742896,65.4218293547052,46.4832005986053,8.15614477275697,"50% relative increase","2"
